Line Id,Date,Name,AFC Revenue (A),Travel Revenue (B),Famoco Revenue (C),QR Online Revenue (D),QR Paper Revenue (E),Static QR Revenue (E1),Whats App QR Revenue (E2),Total Revenue (F) = A + C + D + E + E1 + E2,Parked Vehicle - Cash Revenue (F),Parked Vehicle - Card Revenue (G),Parked Vehicle - Total Revenue (H) = F + G,Pass Sale - Cash Revenue (I),Pass Sale - Card Revenue (J),Pass Sale - Total Revenue (K) = I + J,CL Entry Count (L),QR Entry Count (M),Total Entry Count (N) = L + M,CL Exit Count (O),QR Exit Count (P),Total Exit Count (Q) = O + P,Ridership Count,CSC Qty (R),CST Qty (S),P-CSC (1-day) Qty (T),P-CSC (30-day) Qty (U),Paper Ticket Qty (V),QR Online Qty (W),QR Paper Qty (X),Total Qty (Y) = R + S + T + U + V + W + X
1,22/07/2022,01ED-Wimco Nagar Depot Metro,61002,62720,0,1504,19080,0,0,81586,150,495,645,0,500,500,1747,511,2258,1358,263,1621,1366,21,13,0,0,9,40,472,555
1,22/07/2022,01EF-Wimco Nagar Metro,111334,128017,0,3048,32660,0,0,147042,6175,5320,11495,0,1250,1250,3152,888,4040,2938,753,3691,2992,40,103,3,0,5,89,797,1037
1,22/07/2022,01F1-Thiruvotriyur Metro,89301,93957,0,1288,20820,0,0,111409,760,1345,2105,0,0,0,2654,590,3244,2521,421,2942,2480,46,0,0,0,3,41,552,642
1,22/07/2022,01F3-Thiruvotriyur Theradi Metro,93300,116431,0,1880,31170,0,0,126350,1075,2980,4055,0,0,0,2766,885,3651,2917,866,3783,2928,36,91,4,0,7,52,838,1028
1,22/07/2022,01F5-Kaladipet Metro,88875,90045,0,1000,21120,0,0,110995,1260,2205,3465,0,0,0,2712,642,3354,2665,505,3170,2597,11,0,1,0,1,33,612,658
1,22/07/2022,01F7-Tollgate Metro,58424,52649,100,976,14020,0,0,73520,35,155,190,0,0,0,1526,444,1970,1453,349,1802,1414,33,0,1,0,5,34,406,479
1,22/07/2022,01F9-New Washermenpet Metro,79037,89548,200,1112,23620,0,0,103969,1285,1665,2950,0,250,250,2675,801,3476,2563,669,3232,2627,19,119,2,0,3,41,760,944
1,22/07/2022,01FB-Tondiarpet Metro,75825,93633,1300,1088,26140,0,0,104353,2520,3270,5790,0,250,250,2733,901,3634,2762,730,3492,2694,39,1,0,0,8,39,856,943
1,22/07/2022,01FD-Thiagaraya College Metro,90295,105361,100,1520,26720,0,0,118635,4635,3405,8040,0,1000,1000,3267,968,4235,3235,807,4042,3251,48,46,2,0,10,51,914,1071
1,22/07/2022,0101-Washermanpet,78620,103873,200,1256,33550,0,0,113626,9165,3605,12770,0,11500,11500,3224,1141,4365,2814,993,3807,2904,14,138,0,0,5,50,1094,1301
1,22/07/2022,0103-Mannadi,64054,103869,200,840,29990,0,0,95084,8980,5300,14280,0,0,0,2820,1008,3828,3112,962,4074,3075,11,81,1,0,1,33,976,1103
1,22/07/2022,0105-High Court,124196,224307,1200,1768,61040,0,0,188204,650,2920,3570,0,0,0,6427,1921,8348,6571,1781,8352,6738,28,258,3,0,5,74,2091,2459
1,22/07/2022,0109-Government Estate,86133,142139,350,1640,38140,0,0,126263,1635,4195,5830,0,4250,4250,3919,1357,5276,4055,1522,5577,4441,28,524,0,0,10,73,1269,1904
1,22/07/2022,0111-LIC,73119,153129,200,1312,30500,0,0,105131,1575,495,2070,0,0,0,4273,1072,5345,5027,940,5967,4946,26,1,0,0,2,53,1001,1083
1,22/07/2022,0113-Thousand Lights,114259,210899,900,3048,40240,0,0,158447,550,315,865,0,0,0,6145,1466,7611,6932,1187,8119,6881,30,0,3,0,3,136,1317,1489
1,22/07/2022,0115-AG-DMS,97718,136291,200,1528,24530,0,0,123976,0,0,0,0,0,0,4283,835,5118,4145,630,4775,4360,23,229,0,0,2,61,762,1077
1,22/07/2022,0117-Teynampet,70385,129955,100,1872,29500,0,0,101857,0,0,0,0,0,0,3781,1060,4841,4249,888,5137,4189,25,0,2,0,1,77,977,1082
1,22/07/2022,0119-Nandanam,65699,107582,500,1864,26300,0,0,94363,160,335,495,0,250,250,3279,971,4250,3568,691,4259,3527,25,0,8,1,2,80,886,1002
1,22/07/2022,0121-Saidapet,41030,73286,100,896,23890,0,0,65916,4275,1515,5790,0,2000,2000,1812,813,2625,2024,612,2636,1980,13,0,2,0,0,41,779,835
1,22/07/2022,0123-Little Mount,73243,82904,900,1128,22150,0,0,97421,3420,6940,10360,0,0,0,2884,809,3693,2389,505,2894,2450,25,158,2,0,1,51,752,989
1,22/07/2022,0125-Guindy,121170,243771,0,4280,84270,0,0,209720,5715,8610,14325,0,0,0,6724,2837,9561,6187,2015,8202,6275,29,361,3,0,14,174,2680,3261
1,22/07/2022,0129-Nanganallur Road,40703,42826,360,512,8990,0,0,50565,2010,6255,8265,0,0,0,1215,298,1513,1348,229,1577,1294,11,0,3,0,1,19,272,306
1,22/07/2022,0131-Meenambakkam,116313,124110,800,1328,36180,0,0,154621,2065,9140,11205,0,0,0,3564,1033,4597,2901,838,3739,2992,29,184,0,0,2,43,1005,1263
1,22/07/2022,0133-Chennai International Airport,148104,305658,0,7720,136110,0,0,291934,7090,12255,19345,0,5250,5250,5109,3690,8799,5385,3083,8468,5459,69,662,6,0,8,203,3509,4457
2,22/07/2022,0201-Puratchi Thalaivar Dr. M.G. Ramachandran Central,256716,434481,1805,6144,128700,0,0,393365,12555,2370,14925,0,2600,2600,11986,4545,16531,10396,7132,17528,12511,94,3066,12,0,14,237,4306,7729
2,22/07/2022,0203-Egmore,52790,121546,200,1592,51970,0,0,106552,3855,1620,5475,0,7000,7000,2198,1830,4028,2888,2513,5401,2827,21,371,10,0,4,70,1762,2238
2,22/07/2022,0205-Nehru Park,34075,40878,500,424,14560,0,0,49559,2185,3645,5830,0,2000,2000,1212,521,1733,1117,378,1495,1126,13,77,1,0,1,20,502,614
2,22/07/2022,0207-Kilpauk,30320,51816,200,408,14410,0,0,45338,695,205,900,0,0,0,1413,492,1905,1511,420,1931,1526,8,78,0,0,5,22,471,584
2,22/07/2022,0209-Pachaiyappas College,31631,47360,0,416,13760,0,0,45807,0,0,0,0,1000,1000,1512,502,2014,1415,417,1832,1423,5,54,1,0,1,19,479,559
2,22/07/2022,0211-Shenoy Nagar,40120,40947,200,624,10640,0,0,51584,1920,1200,3120,0,0,0,1202,378,1580,1251,320,1571,1250,8,58,0,0,2,24,351,443
2,22/07/2022,0213-Anna Nagar East,64567,100922,0,1896,28190,0,0,94653,625,3010,3635,0,0,0,2777,1036,3813,2769,798,3567,2855,14,179,2,0,2,76,942,1215
2,22/07/2022,0215-Anna Nagar Tower,82254,87873,500,1352,23600,0,0,107706,6015,8210,14225,0,250,250,2434,862,3296,2450,671,3121,2489,17,176,0,0,5,55,793,1046
2,22/07/2022,0217-Thirumangalam,202343,280154,1950,5968,77940,0,0,288201,66120,17655,83775,0,1500,1500,7609,2670,10279,7389,2091,9480,7598,55,511,4,0,5,210,2446,3231
2,22/07/2022,0219-Koyambedu,142166,196979,850,3232,66450,0,0,212698,7915,9230,17145,0,6000,6000,5138,2273,7411,4563,1852,6415,4773,44,574,6,0,9,131,2155,2919
2,22/07/2022,0221-Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,49833,161854,0,1656,71360,0,0,122849,0,0,0,0,0,0,2069,2368,4437,4293,4318,8611,3560,44,273,5,0,3,72,2295,2692
2,22/07/2022,0223-Arumbakkam,48891,49564,0,2000,18290,0,0,69181,4585,2465,7050,0,7750,7750,1335,673,2008,1342,534,1876,1262,32,1,1,0,4,38,632,708
2,22/07/2022,0225-Vadapalani,106663,181565,2000,3664,68930,0,0,181257,16110,4040,20150,0,6500,6500,4120,2346,6466,4196,2057,6253,4302,34,475,3,0,12,136,2193,2853
2,22/07/2022,0227-Ashok Nagar,78359,123752,210,3040,40540,0,0,122149,5500,5170,10670,0,3000,3000,3164,1401,4565,3027,1091,4118,3176,28,309,0,0,1,106,1294,1738
2,22/07/2022,0229-Ekkattuthangal,73748,130885,320,2856,37200,0,0,114124,3215,5920,9135,0,1000,1000,3707,1297,5004,3483,882,4365,3734,15,356,0,0,8,93,1200,1672
2,22/07/2022,0231-Arignar Anna Alandur,136401,190788,550,3352,56450,0,0,196753,6260,10210,16470,0,6500,6500,5237,1836,7073,4670,1504,6174,5117,42,696,10,0,7,121,1719,2595
2,22/07/2022,0233-St. Thomas Mount,78431,95572,1050,2024,28060,0,0,109565,1190,3235,4425,0,5000,5000,2685,952,3637,2466,755,3221,2589,25,228,3,0,2,82,868,1208
1,23/07/2022,01ED-Wimco Nagar Depot Metro,54822,57768,0,1344,23850,0,0,80016,110,70,180,0,1000,1000,1357,610,1967,1099,303,1402,1059,30,3,0,0,10,37,577,657
1,23/07/2022,01EF-Wimco Nagar Metro,87012,116111,210,2680,38260,0,0,128162,7305,5395,12700,0,500,500,2412,977,3389,2387,927,3314,2415,32,102,3,0,20,72,911,1140
1,23/07/2022,01F1-Thiruvotriyur Metro,81548,89336,0,2096,27970,0,0,111614,1060,1490,2550,0,0,0,2106,786,2892,2032,687,2719,2029,47,38,10,0,9,61,726,891
1,23/07/2022,01F3-Thiruvotriyur Theradi Metro,89125,103801,0,1904,32950,0,0,123979,640,2350,2990,0,0,0,2314,949,3263,2361,1028,3389,2407,54,132,1,0,11,62,894,1154
1,23/07/2022,01F5-Kaladipet Metro,70810,82651,500,1808,24640,0,0,97758,815,1880,2695,0,0,0,2127,772,2899,2158,700,2858,2100,44,0,2,0,13,61,713,833
1,23/07/2022,01F7-Tollgate Metro,39272,50135,0,832,18990,0,0,59094,50,90,140,0,0,0,1195,566,1761,1181,446,1627,1133,22,11,0,0,6,30,540,609
1,23/07/2022,01F9-New Washermenpet Metro,68783,80944,500,1720,23740,0,0,94743,1130,1430,2560,0,0,0,2240,752,2992,2094,794,2888,2194,16,154,0,0,12,50,727,959
1,23/07/2022,01FB-Tondiarpet Metro,62214,82473,550,824,29030,0,0,92618,1525,2210,3735,0,1000,1000,2091,908,2999,2169,842,3011,2078,21,0,1,0,8,27,878,935
1,23/07/2022,01FD-Thiagaraya College Metro,77499,96124,250,2032,31990,0,0,111771,1890,2100,3990,0,0,0,2564,1063,3627,2607,972,3579,2575,86,51,1,0,9,72,998,1217
1,23/07/2022,0101-Washermanpet,67722,100077,350,1744,44970,0,0,114786,11380,5840,17220,0,8000,8000,2304,1469,3773,2181,1215,3396,2208,18,124,3,0,8,78,1398,1629
1,23/07/2022,0103-Mannadi,63302,95302,0,1584,36270,0,0,101156,14725,6360,21085,0,1500,1500,2299,1232,3531,2410,1215,3625,2462,13,140,2,0,4,68,1178,1405
1,23/07/2022,0105-High Court,76693,158202,500,2328,66300,0,0,145821,830,1810,2640,0,0,0,3586,2095,5681,3632,1919,5551,3731,28,283,0,0,4,91,2091,2497
1,23/07/2022,0109-Government Estate,73825,146145,350,1784,62150,0,0,138109,3945,2675,6620,0,3750,3750,3225,2157,5382,3355,2119,5474,3612,23,452,1,0,23,74,2083,2656
1,23/07/2022,0111-LIC,40125,76902,100,1080,28720,0,0,70025,16490,545,17035,0,2000,2000,1716,959,2675,2012,840,2852,1903,15,0,0,0,6,45,917,983
1,23/07/2022,0113-Thousand Lights,66467,142615,1750,2208,43870,0,0,114295,350,240,590,0,0,0,3576,1498,5074,4146,1201,5347,3958,23,0,5,0,9,92,1400,1529
1,23/07/2022,0115-AG-DMS,51330,83596,600,1120,22760,0,0,75810,0,0,0,0,500,500,2238,754,2992,2224,640,2864,2311,8,175,2,0,0,43,705,933
1,23/07/2022,0117-Teynampet,39661,78910,100,1400,28410,0,0,69571,0,0,0,0,0,0,1803,1013,2816,2193,924,3117,2067,19,0,0,0,2,58,958,1037
1,23/07/2022,0119-Nandanam,45051,72086,50,1248,27800,0,0,74149,0,0,0,0,0,0,1818,963,2781,1966,727,2693,1861,41,0,2,0,4,52,911,1010
1,23/07/2022,0121-Saidapet,30822,54934,0,1184,25460,0,0,57466,2790,1505,4295,0,250,250,1066,838,1904,1215,663,1878,1126,13,0,2,0,5,43,804,867
1,23/07/2022,0123-Little Mount,44436,57073,200,1144,20860,0,0,66640,4040,2655,6695,0,0,0,1625,730,2355,1377,576,1953,1452,17,192,5,0,7,48,685,954
1,23/07/2022,0125-Guindy,97167,217715,152,4920,104020,0,0,206259,5830,4315,10145,0,500,500,4230,3351,7581,4233,2701,6934,4287,42,555,12,0,24,173,3250,4056
1,23/07/2022,0129-Nanganallur Road,26412,33340,0,768,11330,0,0,38510,11320,4180,15500,0,0,0,709,351,1060,850,316,1166,791,23,0,4,0,5,24,332,388
1,23/07/2022,0131-Meenambakkam,100361,104620,400,1904,40720,0,0,143385,2715,7160,9875,0,0,0,2373,1126,3499,1985,1075,3060,2102,34,240,4,0,4,52,1102,1436
1,23/07/2022,0133-Chennai International Airport,119851,310430,0,7784,170490,0,0,298125,12155,8755,20910,0,1500,1500,4046,4626,8672,4341,3843,8184,4401,72,719,17,0,29,244,4443,5524
2,23/07/2022,0201-Puratchi Thalaivar Dr. M.G. Ramachandran Central,228687,397941,1550,6840,142590,0,0,379667,12675,2105,14780,0,6550,6550,9715,4888,14603,7202,7246,14448,9869,89,3613,16,0,23,267,4632,8640
2,23/07/2022,0203-Egmore,67628,120206,200,2248,58740,0,0,128816,3400,1360,4760,0,9250,9250,2019,1996,4015,2361,2609,4970,2478,17,544,28,0,10,85,1908,2592
2,23/07/2022,0205-Nehru Park,27896,44454,200,1080,18350,0,0,47526,2085,550,2635,0,2000,2000,1085,667,1752,1048,468,1516,1082,10,116,1,0,10,39,623,799
2,23/07/2022,0207-Kilpauk,26272,42050,597,856,13320,0,0,41045,495,90,585,0,0,0,1088,493,1581,1118,490,1608,1148,16,81,0,0,4,40,456,597
2,23/07/2022,0209-Pachaiyappas College,26329,40943,0,608,15090,0,0,42027,0,0,0,0,2000,2000,1123,541,1664,1087,452,1539,1082,7,75,4,0,4,25,514,629
2,23/07/2022,0211-Shenoy Nagar,30164,34719,0,608,11510,0,0,42282,2120,870,2990,0,4000,4000,900,407,1307,922,405,1327,922,12,72,0,0,5,27,381,497
2,23/07/2022,0213-Anna Nagar East,51492,84581,0,1816,27990,0,0,81298,565,2185,2750,0,3000,3000,2054,974,3028,2132,892,3024,2197,17,186,0,0,1,64,914,1182
2,23/07/2022,0215-Anna Nagar Tower,53062,75534,50,1656,25770,0,0,80538,4475,4375,8850,0,1000,1000,1745,931,2676,1874,851,2725,1893,22,198,1,0,2,64,861,1148
2,23/07/2022,0217-Thirumangalam,154693,244968,210,5704,102350,0,0,262957,97685,13525,111210,0,0,0,5161,3358,8519,5159,2984,8143,5282,50,558,10,0,12,213,3162,4005
2,23/07/2022,0219-Koyambedu,109168,170834,1200,2272,75920,0,0,188560,4965,4880,9845,0,9500,9500,3682,2528,6210,3208,1952,5160,3438,42,773,18,0,15,92,2462,3402
2,23/07/2022,0221-Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,52976,147207,0,1896,75060,0,0,129932,0,0,0,0,0,0,1835,2414,4249,3237,4048,7285,2784,57,446,6,0,6,68,2375,2958
2,23/07/2022,0223-Arumbakkam,37183,49242,0,880,24180,0,0,62243,3320,995,4315,0,5250,5250,1025,850,1875,1137,658,1795,1009,32,1,5,0,10,33,814,895
2,23/07/2022,0225-Vadapalani,114989,248389,200,7464,115716,0,0,238369,20510,4570,25080,0,1500,1500,4608,3942,8550,4483,3584,8067,4948,53,984,1,0,39,287,3666,5030
2,23/07/2022,0227-Ashok Nagar,69381,108104,0,2528,46210,0,0,118119,6845,4545,11390,0,3000,3000,2459,1565,4024,2366,1311,3677,2445,26,328,3,0,5,94,1475,1931
2,23/07/2022,0229-Ekkattuthangal,57072,83049,1020,2208,30740,0,0,91040,2415,1860,4275,0,0,0,1946,1093,3039,1885,841,2726,2072,25,384,3,0,11,94,994,1511
2,23/07/2022,0231-Arignar Anna Alandur,116337,175961,1100,4032,74020,0,0,195489,8770,8730,17500,0,2250,2250,3557,2365,5922,3503,2231,5734,3751,68,675,6,0,11,141,2243,3144
2,23/07/2022,0233-St. Thomas Mount,63444,90762,0,2688,39350,0,0,105482,3650,1890,5540,0,3250,3250,1858,1283,3141,1816,1125,2941,1904,36,290,8,0,3,90,1197,1624
1,24/07/2022,01ED-Wimco Nagar Depot Metro,30580,48385,0,1128,25730,0,0,57438,180,40,220,0,500,500,734,643,1377,773,424,1197,712,19,2,0,0,7,32,615,675
1,24/07/2022,01EF-Wimco Nagar Metro,45739,79661,0,2488,36740,0,0,84967,7840,3205,11045,0,0,0,1269,938,2207,1297,948,2245,1305,27,133,8,0,20,43,893,1124
1,24/07/2022,01F1-Thiruvotriyur Metro,54625,66104,50,1760,31140,0,0,87575,1320,935,2255,0,0,0,1147,845,1992,1185,707,1892,1134,33,0,0,0,10,53,789,885
1,24/07/2022,01F3-Thiruvotriyur Theradi Metro,64145,96430,100,1784,42820,0,0,108849,935,1330,2265,0,0,0,1589,1147,2736,1766,1098,2864,1740,35,150,3,0,24,43,1100,1355
1,24/07/2022,01F5-Kaladipet Metro,43036,61755,0,952,27870,0,0,71858,595,920,1515,0,0,0,1141,810,1951,1324,771,2095,1201,21,2,2,0,23,32,770,850
1,24/07/2022,01F7-Tollgate Metro,22694,36087,0,712,18010,0,0,41416,50,70,120,0,0,0,632,535,1167,715,459,1174,651,19,0,0,0,8,24,511,562
1,24/07/2022,01F9-New Washermenpet Metro,43027,57511,0,1024,24230,0,0,68281,930,975,1905,0,1000,1000,1242,759,2001,1243,660,1903,1253,13,106,1,0,6,36,729,891
1,24/07/2022,01FB-Tondiarpet Metro,48927,59096,0,1120,26680,0,0,76727,2540,1510,4050,0,500,500,1120,805,1925,1250,812,2062,1195,34,15,3,0,14,35,770,871
1,24/07/2022,01FD-Thiagaraya College Metro,53802,74902,500,2448,36480,0,0,93230,2570,2670,5240,0,250,250,1408,1133,2541,1434,926,2360,1441,52,59,0,0,10,80,1054,1255
1,24/07/2022,0101-Washermanpet,48342,78180,280,1008,40800,0,0,90430,7815,1870,9685,0,4250,4250,1401,1301,2702,1352,1218,2570,1399,13,164,5,0,16,44,1262,1504
1,24/07/2022,0103-Mannadi,37304,63302,0,768,36000,0,0,74072,22720,4700,27420,0,0,0,995,1142,2137,1089,1064,2153,1070,12,138,0,0,5,25,1115,1295
1,24/07/2022,0105-High Court,30124,67150,0,1672,35740,0,0,67536,675,585,1260,0,0,0,1201,1203,2404,1157,990,2147,1256,7,176,0,0,5,61,1203,1452
1,24/07/2022,0109-Government Estate,39858,86800,1040,1824,41430,0,0,84152,7105,975,8080,0,250,250,1635,1457,3092,1552,1466,3018,1797,22,418,5,0,7,65,1382,1899
1,24/07/2022,0111-LIC,13999,40637,50,584,19600,0,0,34233,1420,790,2210,0,0,0,691,663,1354,923,595,1518,820,16,1,0,0,5,23,638,683
1,24/07/2022,0113-Thousand Lights,28014,59645,100,2016,28000,0,0,58130,385,30,415,0,0,0,1052,974,2026,1396,809,2205,1245,16,0,0,0,6,73,896,991
1,24/07/2022,0115-AG-DMS,23886,38884,0,744,16290,0,0,40920,0,0,0,0,0,0,778,519,1297,745,458,1203,833,13,166,0,0,1,33,491,704
1,24/07/2022,0117-Teynampet,17094,47604,0,976,26120,0,0,44190,0,0,0,0,0,0,749,869,1618,944,764,1708,842,12,0,0,0,10,39,834,895
1,24/07/2022,0119-Nandanam,18028,40338,700,904,22940,0,0,42572,0,0,0,0,0,0,722,794,1516,797,606,1403,701,15,0,8,0,5,34,762,824
1,24/07/2022,0121-Saidapet,17174,39818,0,952,23470,0,0,41596,4330,1480,5810,0,4250,4250,511,757,1268,716,657,1373,613,4,0,1,0,4,35,732,776
1,24/07/2022,0123-Little Mount,27197,51410,300,1144,23050,0,0,51691,5985,2435,8420,0,0,0,1058,771,1829,1000,609,1609,1076,7,187,6,0,12,35,731,978
1,24/07/2022,0125-Guindy,64047,150631,100,4544,83900,0,0,152591,8445,1525,9970,0,0,0,2229,2641,4870,2284,2475,4759,2330,28,524,6,0,19,142,2540,3259
1,24/07/2022,0129-Nanganallur Road,18538,23208,0,504,12890,0,0,31932,13315,3520,16835,0,0,0,319,391,710,426,351,777,363,12,0,0,0,6,17,371,406
1,24/07/2022,0131-Meenambakkam,54111,85091,120,1848,43578,0,0,99657,3890,3375,7265,0,0,0,1355,1185,2540,1166,1015,2181,1292,25,300,4,0,10,59,1161,1559
1,24/07/2022,0133-Chennai International Airport,98273,277173,100,6680,174680,0,0,279733,12490,5235,17725,0,2250,2250,2941,4637,7578,3242,4040,7282,3158,71,659,13,0,35,184,4519,5481
2,24/07/2022,0201-Puratchi Thalaivar Dr. M.G. Ramachandran Central,176645,339859,230,8176,149370,0,0,334421,19530,2125,21655,0,250,250,6578,5070,11648,4107,6535,10642,6729,82,3409,19,0,28,326,4814,8678
2,24/07/2022,0203-Egmore,47913,100403,100,1584,56780,0,0,106377,9235,1760,10995,0,10500,10500,1460,1951,3411,1497,2310,3807,1608,13,526,11,0,6,61,1894,2511
2,24/07/2022,0205-Nehru Park,17057,26052,0,760,13940,0,0,31757,2485,500,2985,0,2250,2250,466,483,949,492,437,929,493,9,73,2,0,0,30,453,567
2,24/07/2022,0207-Kilpauk,11862,27599,350,432,11870,0,0,24514,225,25,250,0,0,0,558,405,963,556,426,982,599,6,112,0,0,2,20,385,525
2,24/07/2022,0209-Pachaiyappas College,20319,37158,0,904,18830,0,0,40053,0,0,0,0,4000,4000,783,696,1479,734,577,1311,768,7,122,0,0,3,48,649,829
2,24/07/2022,0211-Shenoy Nagar,14081,22318,0,408,11770,0,0,26259,0,0,0,0,2000,2000,410,394,804,442,313,755,434,15,48,0,0,5,17,381,466
2,24/07/2022,0213-Anna Nagar East,29995,59943,300,1328,25150,0,0,56773,670,660,1330,0,0,0,1285,874,2159,1297,779,2076,1328,15,184,1,0,11,56,813,1080
2,24/07/2022,0215-Anna Nagar Tower,35008,59938,0,1472,25900,0,0,62380,6300,3915,10215,0,0,0,1179,895,2074,1218,818,2036,1286,11,256,4,0,3,50,842,1166
2,24/07/2022,0217-Thirumangalam,99997,183202,100,4672,94820,0,0,199589,91970,6940,98910,0,0,0,3059,3051,6110,3262,2816,6078,3245,42,555,11,0,9,181,2873,3671
2,24/07/2022,0219-Koyambedu,72591,128456,264,2104,72500,0,0,147459,5110,4045,9155,0,4000,4000,2143,2306,4449,1963,1879,3842,2025,26,556,16,0,19,94,2260,2971
2,24/07/2022,0221-Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,42724,132988,50,1896,83350,0,0,128020,0,0,0,0,0,0,1563,2687,4250,2126,3286,5412,1840,38,472,2,0,15,83,2636,3246
2,24/07/2022,0223-Arumbakkam,28372,40405,0,448,24710,0,0,53530,3720,600,4320,0,4000,4000,636,851,1487,737,663,1400,635,35,0,1,0,20,20,833,909
2,24/07/2022,0225-Vadapalani,73093,169355,190,6320,86800,0,0,166403,21420,4110,25530,0,1500,1500,2831,2971,5802,2945,2820,5765,3077,30,673,2,0,26,199,2784,3714
2,24/07/2022,0227-Ashok Nagar,51882,74738,0,2048,39800,0,0,93730,6685,5830,12515,0,6000,6000,1291,1360,2651,1289,1268,2557,1355,29,274,3,0,1,80,1286,1673
2,24/07/2022,0229-Ekkattuthangal,39964,52990,0,928,22870,0,0,63762,1925,1125,3050,0,0,0,1100,754,1854,1121,795,1916,1191,27,325,3,0,11,41,723,1130
2,24/07/2022,0231-Arignar Anna Alandur,86663,134558,500,3008,61980,0,0,152151,9915,4315,14230,0,0,0,2501,1902,4403,2102,1873,3975,2577,46,881,6,0,17,89,1840,2879
2,24/07/2022,0233-St. Thomas Mount,43363,66153,0,1936,30870,0,0,76169,1830,1465,3295,0,250,250,1148,986,2134,1095,1010,2105,1236,24,365,4,0,4,70,924,1391
1,25/07/2022,01ED-Wimco Nagar Depot Metro,67232,64817,100,1424,21500,0,0,90256,145,245,390,0,500,500,1598,529,2127,1414,355,1769,1376,21,1,0,0,6,30,539,597
1,25/07/2022,01EF-Wimco Nagar Metro,121747,128293,40,2416,35270,0,0,159473,15125,5980,21105,0,5250,5250,3102,911,4013,2909,1011,3920,2896,43,90,2,0,5,56,853,1049
1,25/07/2022,01F1-Thiruvotriyur Metro,124522,101680,0,1080,24700,0,0,150302,1470,1500,2970,0,0,0,2641,679,3320,2637,622,3259,2577,22,0,1,0,9,34,645,711
1,25/07/2022,01F3-Thiruvotriyur Theradi Metro,110217,107715,100,1080,25520,0,0,136917,1300,2895,4195,0,0,0,2582,719,3301,2812,796,3608,2821,32,94,1,0,10,36,678,851
1,25/07/2022,01F5-Kaladipet Metro,121199,96480,0,1272,22470,0,0,144941,800,2460,3260,0,0,0,2870,714,3584,2821,609,3430,2765,30,0,1,0,8,41,673,753
1,25/07/2022,01F7-Tollgate Metro,65627,52439,0,752,13560,0,0,79939,25,125,150,0,0,0,1525,431,1956,1455,371,1826,1433,35,1,0,0,5,23,415,479
1,25/07/2022,01F9-New Washermenpet Metro,104043,89287,100,1032,23490,0,0,128665,1180,1780,2960,0,0,0,2620,781,3401,2628,740,3368,2622,14,55,1,0,2,31,755,858
1,25/07/2022,01FB-Tondiarpet Metro,99111,91321,450,1176,22400,0,0,123137,1950,3710,5660,0,0,0,2663,744,3407,2765,759,3524,2724,27,12,0,0,5,41,708,793
1,25/07/2022,01FD-Thiagaraya College Metro,124784,109299,520,2496,27970,0,0,155770,4385,2035,6420,0,1000,1000,3279,985,4264,3333,849,4182,3335,51,41,2,0,5,59,924,1082
1,25/07/2022,0101-Washermanpet,113912,105888,755,1784,34290,0,0,150741,9680,4110,13790,0,13250,13250,3183,1197,4380,2907,1112,4019,2936,25,97,2,0,1,61,1132,1318
1,25/07/2022,0103-Mannadi,90502,104344,0,936,31400,0,0,122838,12355,7725,20080,0,1500,1500,2808,1059,3867,3098,1200,4298,3079,18,84,2,0,0,28,1030,1162
1,25/07/2022,0105-High Court,160257,225695,0,1776,65030,0,0,227063,1335,1460,2795,0,0,0,6325,2070,8395,6533,1830,8363,6587,38,154,0,0,1,73,2158,2424
1,25/07/2022,0109-Government Estate,91139,144249,200,1688,46040,0,0,139067,2590,3055,5645,0,4000,4000,3793,1638,5431,4125,1533,5658,4313,24,327,2,0,10,64,1559,1986
1,25/07/2022,0111-LIC,91375,154768,1232,1344,27620,0,0,121571,2985,875,3860,0,250,250,4513,966,5479,5191,951,6142,5125,34,0,1,0,0,56,898,989
1,25/07/2022,0113-Thousand Lights,144210,223132,3180,3160,41980,0,0,192530,495,255,750,0,250,250,6312,1548,7860,7435,1366,8801,7299,34,0,0,0,8,129,1400,1571
1,25/07/2022,0115-AG-DMS,107490,138396,0,1688,28040,0,0,137218,0,0,0,0,1250,1250,4137,935,5072,4294,833,5127,4350,23,99,2,0,1,59,867,1051
1,25/07/2022,0117-Teynampet,87122,132220,0,1368,28600,0,0,117090,0,0,0,0,0,0,3791,1046,4837,4434,1075,5509,4315,25,2,0,0,1,55,974,1057
1,25/07/2022,0119-Nandanam,92161,110291,656,1032,24690,0,0,118539,0,0,0,0,2000,2000,3155,896,4051,3790,853,4643,3705,38,0,3,0,4,45,833,923
1,25/07/2022,0121-Saidapet,53945,77316,0,912,22580,0,0,77437,3355,1355,4710,0,5000,5000,1844,774,2618,2302,747,3049,2193,16,0,0,0,2,36,744,798
1,25/07/2022,0123-Little Mount,89828,82993,1079,856,21900,0,0,113663,4155,6960,11115,0,3000,3000,2939,788,3727,2468,625,3093,2504,27,126,4,0,1,39,740,937
1,25/07/2022,0125-Guindy,162707,235375,1200,4840,69970,0,0,238717,10250,8530,18780,0,500,500,6835,2467,9302,6448,2199,8647,6543,40,304,2,0,7,185,2272,2810
